dataset,ftrain,ftest,time,bestepoch,totalepochs,epochoverhead
abalone,0.089,0.124,19.77,42.5,42.5,1.5
adult,0.815,0.778,427.6,13.0,35.0,20.0
cancer,0.959,0.981,14.19,257.0,275.0,19.5
card,0.903,0.854,10.74,70.0,90.0,20.5
covtype,0.59,0.394,667.2,48.5,130.0,74.5
gene,0.997,0.864,182.7,4.0,255.0,251.5
glass,0.538,0.375,4.025,242.5,262.5,20.0
heart,0.905,0.82,9.961,51.5,70.0,19.5
horse,0.784,0.669,2.502,17.0,35.0,19.0
madelon,0.698,0.559,69.91,8.0,30.0,22.0
optdigits,0.999,0.954,539.8,86.5,410.0,245.5
page-blocks,0.855,0.765,82.97,133.5,157.5,20.0
pendigits,0.958,0.918,284.5,148.0,275.0,74.0
poker,0.117,0.112,285.2,50.0,70.0,19.0
satimage,0.77,0.778,135.5,64.0,135.0,44.0
segmentation,0.935,0.866,11.16,281.0,310.0,20.0
shuttle,0.49,0.5,4072.0,616.0,757.5,71.5
soybean,0.988,0.96,9.852,49.5,70.0,20.5
spect,0.436,0.224,1.518,117.5,125.0,18.5
thyroid,0.918,0.874,124.6,158.5,210.0,22.0
vehicle,0.897,0.828,42.73,452.0,475.0,20.0
waveform,0.876,0.865,38.77,51.5,70.0,19.0
