,LLSQ,Ridge,LAS,SE-L,L1L2,Imp,Imp*,Step,MLP,ntrain,ntest,ntotal,feat,m,featm,clas
LLSQ,1.0,0.6390951636857718,-0.5534157000325399,-0.24662905923094877,-0.20421966872690317,0.0028468431351628964,0.08326619140777856,-0.32324711077702967,-0.04195459156469477,-0.3349282079369301,-0.19452747506090132,-0.20676305674991174,0.3971651666524403,-0.3352935702886057,0.14811955774225047,-0.3691377649122408
Ridge,0.6390951636857718,1.0,-0.4239597321972782,-0.07311422715658554,-0.09563847048607257,-0.3413017833378283,-0.25996357220256433,-0.11508001331074165,-0.039295656408894215,-0.1708987385383011,-0.0985075009145388,-0.10383845051544037,0.36467854980753256,-0.33570203315017744,0.11731036576958559,0.23656107218383374
LAS,-0.5534157000325399,-0.4239597321972782,1.0,0.7912719198099715,0.1849156834190135,-0.4801327643340384,-0.5752997228994684,0.4946481576513992,-0.28739359787129387,0.35028973935428326,0.24698780832251038,0.25690123487110517,-0.4331217787917493,0.2563268797338541,-0.23495028846159638,0.27672715832477124
SE-L,-0.24662905923094877,-0.07311422715658554,0.7912719198099715,1.0,-0.022385113233143315,-0.4718207721046194,-0.4928606988634695,0.25869017963223917,-0.40699071028876205,0.33038753654589004,0.162801650768043,0.17408200276666416,-0.07751946627183066,-0.11243007898809995,-0.14837069095797362,0.2223295066038494
L1L2,-0.20421966872690317,-0.09563847048607257,0.1849156834190135,-0.022385113233143315,1.0,-0.2816469709149586,-0.09985189218983284,-0.06526496642992899,-0.03144467522591506,0.418075278860625,-0.08750274238838988,-0.07079108359467572,-0.29423407987168104,0.4679383110793331,0.03771230606496184,-0.013978923440861515
Imp,0.0028468431351628964,-0.3413017833378283,-0.4801327643340384,-0.4718207721046194,-0.2816469709149586,1.0,0.8612663536214243,-0.07983497880601535,-0.03471668631283186,-0.15610421135312808,-0.16263512678838535,-0.16592724538597445,0.13157251373150927,-0.1107064626280667,0.04931692520209541,-0.35207708510920066
Imp*,0.08326619140777856,-0.25996357220256433,-0.5752997228994684,-0.4928606988634695,-0.09985189218983284,0.8612663536214243,1.0,-0.2943774478516245,0.06923281756928269,0.014485822594483552,-0.13434094735792534,-0.13042714273250666,0.3487370937824325,-0.012719454242666104,0.3192430251248867,-0.45098135020843527
Step,-0.32324711077702967,-0.11508001331074165,0.4946481576513992,0.25869017963223917,-0.06526496642992899,-0.07983497880601535,-0.2943774478516245,1.0,-0.46760189809746394,0.004109252049877803,0.2234286205578545,0.2175300962736311,-0.22061170888295845,0.2589111482114788,-0.033471919058866734,0.5462314535587239
MLP,-0.04195459156469477,-0.039295656408894215,-0.28739359787129387,-0.40699071028876205,-0.03144467522591506,-0.03471668631283186,0.06923281756928269,-0.46760189809746394,1.0,-0.17616691482873795,-0.010206210761908143,-0.01599347406083385,0.20018169359151938,0.1300078507408618,0.2754688454893917,-0.03876943081083363
ntrain,-0.3349282079369301,-0.1708987385383011,0.35028973935428326,0.33038753654589004,0.418075278860625,-0.15610421135312808,0.014485822594483552,0.004109252049877803,-0.17616691482873795,1.0,0.3604235892925955,0.4014536320034298,-0.09778037349919785,0.3684075274133851,0.15657285456755274,-0.007559192440250511
ntest,-0.19452747506090132,-0.0985075009145388,0.24698780832251038,0.162801650768043,-0.08750274238838988,-0.16263512678838535,-0.13434094735792534,0.2234286205578545,-0.010206210761908143,0.3604235892925955,1.0,0.9990214744993103,-0.09591595223649334,0.41638307222273424,0.1894910582029514,0.11800174565877598
ntotal,-0.20676305674991174,-0.10383845051544037,0.25690123487110517,0.17408200276666416,-0.07079108359467572,-0.16592724538597445,-0.13042714273250666,0.2175300962736311,-0.01599347406083385,0.4014536320034298,0.9990214744993103,1.0,-0.09786181386669077,0.42549173246478306,0.1937795133772089,0.11632241920992793
feat,0.3971651666524403,0.36467854980753256,-0.4331217787917493,-0.07751946627183066,-0.29423407987168104,0.13157251373150927,0.3487370937824325,-0.22061170888295845,0.20018169359151938,-0.09778037349919785,-0.09591595223649334,-0.09786181386669077,1.0,-0.26495168899183985,0.761978809334197,-0.18300070792751263
m,-0.3352935702886057,-0.33570203315017744,0.2563268797338541,-0.11243007898809995,0.4679383110793331,-0.1107064626280667,-0.012719454242666104,0.2589111482114788,0.1300078507408618,0.3684075274133851,0.41638307222273424,0.42549173246478306,-0.26495168899183985,1.0,0.42257018311544087,0.17806800969754372
featm,0.14811955774225047,0.11731036576958559,-0.23495028846159638,-0.14837069095797362,0.03771230606496184,0.04931692520209541,0.3192430251248867,-0.033471919058866734,0.2754688454893917,0.15657285456755274,0.1894910582029514,0.1937795133772089,0.761978809334197,0.42257018311544087,1.0,-0.05241510502572771
clas,-0.3691377649122408,0.23656107218383374,0.27672715832477124,0.2223295066038494,-0.013978923440861515,-0.35207708510920066,-0.45098135020843527,0.5462314535587239,-0.03876943081083363,-0.007559192440250511,0.11800174565877598,0.11632241920992793,-0.18300070792751263,0.17806800969754372,-0.05241510502572771,1.0
