,mmingood,time25,timemingood,gain,pct,mgain
abalone,110,0.4941,3.404,2.91,589.1%,85
adult,150,130.8,530.2,399.4,305.3%,125
cancer,5,0.03065,0.004708,-0.02594,-84.64%,-20
card,5,0.1054,0.06007,-0.04537,-43.03%,-20
covtype,180,340.3,7259.0,6919.0,2033.0%,155
gene,5,10.53,6.824,-3.703,-35.17%,-20
glass,5,0.1392,0.016,-0.1232,-88.5%,-20
heart,5,0.1667,0.1205,-0.04619,-27.72%,-20
horse,5,0.3466,0.2503,-0.0963,-27.78%,-20
madelon,5,6.18,7.639,1.459,23.61%,-20
optdigits,175,373.8,5396.0,5022.0,1344.0%,150
page-blocks,100,10.97,472.4,461.4,4207.0%,75
pendigits,185,71.27,13870.0,13800.0,19370.0%,160
poker,185,2.287,297.5,295.2,12910.0%,160
satimage,180,57.14,829.1,771.9,1351.0%,155
segmentation,25,1.05,0.5416,-0.5084,-48.42%,0
shuttle,70,124.2,2681.0,2556.0,2059.0%,45
soybean,5,1.368,0.9233,-0.4444,-32.49%,-20
spect,150,0.01027,0.1387,0.1284,1251.0%,125
thyroid,145,0.7029,5.025,4.322,614.8%,120
vehicle,115,1.869,7.286,5.417,289.8%,90
waveform,60,7.16,22.89,15.73,219.6%,35
