,Ridge,LAS,SE-L,L1L2,Imp,Imp*,Step,MLP,ntrain,ntest,ntotal,feat,m,featm,clas
Ridge,1.0,0.4702151266490694,0.46725393670300264,0.6898206223661916,0.4953458314500879,0.2531743716945946,-0.24346209251308648,0.7986877559759838,-0.21055395292326196,-0.18342084521917265,-0.18876653556892156,-0.027160456384266608,-0.31017451487969117,-0.23384312325994586,-0.37720893728719296
LAS,0.4702151266490694,1.0,0.9985260646062192,0.8235938562473573,0.9987566414328343,0.7078288416277451,-0.10937994435301669,0.15076101359476363,-0.16793465040853098,-0.08232507933887039,-0.08822013598450958,-0.08832173326808883,-0.25398533471888807,-0.25359304161047536,-0.03549350810268463
SE-L,0.46725393670300264,0.9985260646062192,1.0,0.8205114723250667,0.9973862334198792,0.7129385402022161,-0.08288120299134018,0.15447366248063213,-0.1553703655071842,-0.08373041167242233,-0.08901245857072015,-0.11890935849043344,-0.22388330156706523,-0.26212636111781684,-0.030617010225180437
L1L2,0.6898206223661916,0.8235938562473573,0.8205114723250667,1.0,0.834968846462944,0.5676442664003781,-0.20496210769044965,0.2814419421347626,-0.30694697869473064,-0.16566862876106903,-0.1768083336791551,-0.1754856542538608,-0.1778559839025431,-0.2843915045230716,-0.13130167014541205
Imp,0.4953458314500879,0.9987566414328343,0.9973862334198792,0.834968846462944,1.0,0.6976019906696584,-0.1298870546969776,0.1825635064903741,-0.18009444534028723,-0.0821361211564008,-0.08865979632074851,-0.11066664686357117,-0.2702524751738181,-0.28552058005191433,-0.04957318819005084
Imp*,0.2531743716945946,0.7078288416277451,0.7129385402022161,0.5676442664003781,0.6976019906696584,1.0,-0.12106052549406551,0.0875766141500298,-0.172147164137593,-0.1261528473600194,-0.13107452070307116,-0.1694309458759837,0.008342431969546444,-0.15364896325146937,0.23081571556421285
Step,-0.24346209251308648,-0.10937994435301669,-0.08288120299134018,-0.20496210769044965,-0.1298870546969776,-0.12106052549406551,1.0,-0.12625846550967618,0.10509254289968302,0.03270835151721718,0.03759881716096336,-0.11081821747219588,0.5343276982297416,0.25469617654296434,0.1531961014153241
MLP,0.7986877559759838,0.15076101359476363,0.15447366248063213,0.2814419421347626,0.1825635064903741,0.0875766141500298,-0.12625846550967618,1.0,-0.1479323862494229,-0.08699676049922549,-0.09178361946996252,-0.12199325558694346,-0.2918030666768714,-0.31064016442888226,-0.17620156150831331
ntrain,-0.21055395292326196,-0.16793465040853098,-0.1553703655071842,-0.30694697869473064,-0.18009444534028723,-0.172147164137593,0.10509254289968302,-0.1479323862494229,1.0,0.3604235892925955,0.4014536320034298,-0.09778037349919785,0.3684075274133851,0.15657285456755274,-0.007559192440250511
ntest,-0.18342084521917265,-0.08232507933887039,-0.08373041167242233,-0.16566862876106903,-0.0821361211564008,-0.1261528473600194,0.03270835151721718,-0.08699676049922549,0.3604235892925955,1.0,0.9990214744993103,-0.09591595223649334,0.41638307222273424,0.1894910582029514,0.11800174565877598
ntotal,-0.18876653556892156,-0.08822013598450958,-0.08901245857072015,-0.1768083336791551,-0.08865979632074851,-0.13107452070307116,0.03759881716096336,-0.09178361946996252,0.4014536320034298,0.9990214744993103,1.0,-0.09786181386669077,0.42549173246478306,0.1937795133772089,0.11632241920992793
feat,-0.027160456384266608,-0.08832173326808883,-0.11890935849043344,-0.1754856542538608,-0.11066664686357117,-0.1694309458759837,-0.11081821747219588,-0.12199325558694346,-0.09778037349919785,-0.09591595223649334,-0.09786181386669077,1.0,-0.26495168899183985,0.761978809334197,-0.18300070792751263
m,-0.31017451487969117,-0.25398533471888807,-0.22388330156706523,-0.1778559839025431,-0.2702524751738181,0.008342431969546444,0.5343276982297416,-0.2918030666768714,0.3684075274133851,0.41638307222273424,0.42549173246478306,-0.26495168899183985,1.0,0.42257018311544087,0.17806800969754372
featm,-0.23384312325994586,-0.25359304161047536,-0.26212636111781684,-0.2843915045230716,-0.28552058005191433,-0.15364896325146937,0.25469617654296434,-0.31064016442888226,0.15657285456755274,0.1894910582029514,0.1937795133772089,0.761978809334197,0.42257018311544087,1.0,-0.05241510502572771
clas,-0.37720893728719296,-0.03549350810268463,-0.030617010225180437,-0.13130167014541205,-0.04957318819005084,0.23081571556421285,0.1531961014153241,-0.17620156150831331,-0.007559192440250511,0.11800174565877598,0.11632241920992793,-0.18300070792751263,0.17806800969754372,-0.05241510502572771,1.0
